# {"t_start": 1768293732.4314985, "env_id": "PctContinuous-v0"} 
r,l,t
2.537131,22,7.94231
3.614118,50,30.470592
3.249082,40,47.148572
3.303374,45,67.166573
0.555396,11,71.123238
3.377232,41,88.929703
2.687372,33,101.74533
4.275194,55,123.433338
4.399524,47,143.572244
2.321192,34,157.928742
1.925035,24,167.138962
2.966995,39,182.546072
3.415875,38,196.058185
1.705308,21,204.842233
3.601056,47,222.937144
1.733161,19,231.030295
4.26495,58,257.400235
3.795707,46,277.947162
4.267864,56,302.623766
3.175181,40,318.406961
2.535471,29,330.323
3.217403,47,351.114523
2.591692,31,364.546117
4.051748,55,387.513663
3.889399,50,407.418046
3.226487,35,421.032848
3.246898,40,436.046628
3.446033,36,449.104559
2.144752,29,460.348075
4.268242,45,477.003724
1.941849,26,488.024871
3.542242,40,505.321472
4.378274,43,522.326053
2.474083,31,536.048717
1.748506,26,546.019423
2.438406,32,559.85
3.226179,43,577.426393
1.971089,25,587.923563
3.196459,42,604.93684
3.019318,33,618.128353
3.953338,51,640.012822
2.65665,43,658.537858
4.332431,58,683.553785
3.649623,58,707.827624
3.49503,35,721.429456
3.456721,39,737.851958
1.570886,19,745.315451
3.297569,46,763.071313
4.21578,40,778.72355
1.452574,15,784.823891
3.784368,37,799.756762
3.369078,30,811.833633
2.477572,36,826.643548
2.112949,25,836.736539
3.303374,45,856.02259
1.948194,29,868.312591
2.228597,29,881.132503
3.107616,37,895.933979
1.614633,20,903.838476
3.870509,43,921.304239
3.359868,50,941.935234
1.610774,21,950.217593
3.056794,41,967.237092
3.415875,38,982.004726
2.362469,29,994.831233
3.113932,40,1011.929491
1.589081,17,1018.91049
2.663556,38,1034.043138
4.174609,51,1055.546157
2.598453,33,1070.250653
3.72288,47,1089.219231
3.70833,41,1106.924637
3.880752,55,1129.107954
0.871358,11,1133.410404
3.078308,39,1148.022703
2.936181,35,1160.823527
3.396954,37,1174.732147
3.75709,47,1193.736269
3.385148,35,1207.243739
1.601567,23,1216.433707
1.861062,17,1223.726334
1.382001,20,1232.029423
3.258704,38,1247.713223
3.952963,39,1264.881876
3.872527,49,1285.144645
2.142202,31,1298.409163
1.229239,17,1305.310573
2.236125,30,1317.014746
3.106493,40,1334.008765
1.739491,22,1343.030258
3.148448,35,1356.807121
3.193556,42,1374.143605
1.528321,24,1383.722157
2.092308,25,1394.05691
3.451133,54,1416.359429
4.477624,46,1435.266182
3.247697,35,1449.927538
3.147861,36,1464.240054
1.884001,28,1474.529615
2.398859,23,1483.946778
3.002458,31,1496.650017
4.40089,45,1514.450543
3.17572,28,1526.033002
3.662501,51,1546.333143
3.47549,42,1564.024621
3.238849,44,1582.563809
1.346423,20,1590.517085
4.526715,56,1615.119481
1.687989,21,1624.319276
2.383255,32,1637.475904
3.546811,40,1653.506686
2.589881,40,1669.738291
2.494451,30,1682.649062
3.936741,48,1702.13285
3.285665,37,1717.909439
4.457233,53,1740.579644
4.131123,54,1763.987608
4.087826,45,1782.91282
1.682541,24,1793.233738
3.995973,49,1813.430611
2.598453,33,1826.710267
1.053314,18,1834.325663
2.933446,31,1846.6397
2.574763,39,1864.05281
3.552019,47,1882.843553
2.504702,33,1895.736709
4.416133,58,1917.817344
2.792739,30,1928.545378
4.326701,51,1948.219454
4.365744,46,1966.448702
2.541495,33,1979.428593
4.586626,48,1997.91838
3.588489,43,2014.408013
4.696725,50,2034.626863
3.952963,39,2050.830942
3.156009,40,2067.106607
4.092505,56,2089.749906
3.597023,48,2109.357996
2.512585,36,2123.740843
4.409597,55,2147.005655
2.32999,30,2158.221406
2.563416,30,2170.611141
3.953338,51,2190.822292
3.222342,49,2209.018817
3.768687,49,2228.858601
4.213716,66,2254.113857
4.014077,41,2270.769177
3.456721,39,2285.637828
2.716749,31,2297.336191
4.656448,67,2324.430754
4.623502,45,2340.015316
2.668003,28,2350.410529
3.784368,37,2364.138551
4.621738,45,2380.605033
3.408517,47,2400.049171
2.219541,27,2410.931903
4.285627,58,2433.621919
1.576151,22,2442.336845
3.757389,45,2459.62344
2.203388,28,2470.42186
1.142184,16,2477.319652
4.811909,52,2497.331542
2.615722,41,2514.341715
2.446531,29,2526.208778
3.416501,44,2545.043499
3.415875,38,2560.505504
1.8202,23,2570.313265
3.649693,48,2589.932752
3.882376,42,2607.156033
